Segment,carrier id,price,origin,dest,pickup time,delivery time,source?,target?,distance_to_target
L-I-J-M,71,65,L,M,17:15:00,17:50:00,,,70
N-L-I-J-M,72,72,N,M,18:10:00,18:40:00,,,70
C-E-I-K-M,73,85,C,M,17:50:00,18:25:00,,,70
G-F-I-J-M,74,78,G,M,16:55:00,17:40:00,,,70
A-C-E-M,75,110,A,M,18:20:00,18:50:00,,,70
A-G-F-I-J-M,76,123,A,M,15:20:00,15:50:00,,,70
A-G-F-I-J-M,77,140,A,M,12:00:00,12:30:00,,,70
O-P,78,50,O,P,9:30:00,10:00:00,,,65
O-P,79,67,O,P,8:00:00,9:00:00,,,65
L-O-P,80,78,L,P,13:00:00,13:40:00,,,65
E-L-O-P,81,70,E,P,12:00:30,13:15:00,,,65
E-L-O-P,82,75,E,P,14:20:00,15:00:00,,,65
A-G-P,83,120,A,P,11:10:00,11:50:00,,,65
A-G-P,84,118,A,P,11:00:00,11:20:00,,,65
P-Q,85,10,P,Q,12:30:00,13:00:00,,,69
O-P-Q,86,48,O,Q,13:00:00,13:40:00,,,69
G-P-Q,87,87,G,Q,11:00:00,11:20:00,,,69
A-G-P-Q,88,110,A,Q,13:00:00,13:40:00,,,69
N-L-O-P-Q,89,75,N,Q,14:20:00,15:00:00,,,69
E-L-O-P-Q,90,70,E,Q,11:10:00,11:50:00,,,69
B-N-L-O-P-Q,91,90,B,Q,11:00:00,11:20:00,,,69
M-T,92,13,M,T,14:00:00,14:40:00,,,49
M-T,93,15,M,T,8:30:00,9:00:00,,,49
M-T,94,20,M,T,12:00:00,12:30:00,,,49
J-M-T,95,67,J,T,17:50:00,18:25:00,,,49
K-M-T,96,65,K,T,13:00:00,13:40:00,,,49
I-J-M-T,97,70,I,T,14:20:00,15:00:00,,,49
I-K-M-T,98,76,I,T,8:00:00,8:30:00,,,49
F-I-K-M-T,99,90,F,T,14:20:00,15:00:00,,,49
E-M-T,100,88,E,T,14:00:00,14:40:00,,,49
E-M-T,101,78,E,T,17:50:00,18:25:00,,,49
C-E-M-T,102,94,C,T,16:57:00,17:20:00,,,49
C-E-I-J-M-T,103,110,C,T,18:20:00,18:50:00,,,49
A-C-E-M-T,104,150,A,T,16:10:00,16:50:00,,,49
P-R,105,20,P,R,15:10:00,15:40:00,,,36
P-R,106,18,P,R,11:10:00,11:50:00,,,36
T-R,107,7,T,R,13:00:00,13:40:00,,,36
M-T-R,108,30,M,R,9:30:00,10:00:00,,,36
M-T-R,109,34,M,R,11:00:00,11:20:00,,,36
K-M-T-R,110,68,K,R,14:20:00,15:00:00,,,36
J-M-T-R,111,65,J,R,11:10:00,11:50:00,,,36
J-M-T-R,112,60,J,R,11:00:00,11:20:00,,,36
I-J-M-T-R,113,75,I,R,18:20:00,18:50:00,,,36
E-M-T-R,114,90,E,R,13:00:00,13:40:00,,,36
L-I-J-M-T-R,115,92,L,R,12:00:30,13:15:00,,,36
F-I-J-M-T-R,116,88,F,R,15:10:00,15:40:00,,,36
C-E-I-J-M-T-R,117,119,C,R,13:00:00,13:40:00,,,36
C-E-M-T-R,118,125,C,R,12:30:00,13:00:00,,,36
A-C-E-M-T-R,119,150,A,R,13:00:00,13:40:00,,,36
G-P-R,120,120,G,R,8:00:00,8:30:00,,,36
G-P-R,121,115,G,R,9:30:00,10:00:00,,,36
O-P-R,122,80,O,R,15:10:00,15:40:00,,,36
L-O-P-R,123,95,L,R,8:00:00,8:30:00,,,36
N-L-O-P-R,124,100,N,R,9:30:00,10:00:00,,,36
B-N-L-O-P-R,125,115,B,R,18:00:00,18:30:00,,,36
C-E-L-O-P-R,126,110,C,R,17:00:00,17:20:00,,,36
K-U,127,48,K,U,19:00:00,19:20:00,,,53
I-K-U,128,67,I,U,11:00:00,11:20:00,,,53
F-I-K-U,129,75,I,U,17:50:00,18:25:00,,,53
R-D,130,26,R,D,13:00:00,13:40:00,,,0
Q-D,131,55,Q,D,17:50:00,18:25:00,,,0
U-D,132,40,U,D,16:57:00,17:20:00,,,0
T-R-D,133,40,T,D,11:00:00,11:20:00,,,0
P-R-D,134,45,P,D,14:00:00,14:40:00,,,0
M-D,135,70,M,D,16:57:00,17:20:00,,,0
J-M-D,136,95,J,D,13:00:00,13:40:00,,,0
J-M-D,137,91,J,D,12:00:30,13:15:00,,,0
J-M-D,138,98,J,D,15:10:00,15:40:00,,,0
K-M-D,139,95,K,D,14:20:00,15:00:00,,,0
K-M-D,140,95,K,D,14:00:00,14:40:00,,,0
K-M-D,141,93,K,D,11:00:00,11:20:00,,,0
P-Q-D,142,65,P,D,14:00:00,14:40:00,,,0
O-P-R-D,143,100,O,D,8:00:00,8:30:00,,,0
M-T-R-D,144,50,M,D,16:57:00,17:20:00,,,0
K-U-D,145,85,K,D,12:00:30,13:15:00,,,0
I-J-M-D,146,95,I,D,14:20:00,15:00:00,,,0
I-J-M-D,147,97,I,D,8:00:00,8:30:00,,,0
G-P-R-D,148,130,G,D,16:57:00,17:20:00,,,0
E-M-D,149,110,E,D,16:57:00,17:20:00,,,0
G-P-R-D,150,130,G,D,11:00:00,11:20:00,,,0
